ID_Cliente,Nombre_Cliente,Segmento,Pais,Region,Estado,Ciudad,ID_Pedido,Fecha_Pedido,ID_Producto,Nombre_Producto,Categoria,Subcategoria,Cantidad,Descuento,Ventas,Ganancia,Margen_Ganancia
C0174,Nicolás Martínez,Corporativo,Chile,Sur,Los Lagos,Puerto Montt,ORD-2023-00001,2025-03-31,P0082,Papelería Eco 2,Oficina,Papelería,1,0.0,590.86,322.42,54.567917950106626
C0174,Nicolás Martínez,Corporativo,Chile,Sur,Los Lagos,Puerto Montt,ORD-2023-00001,2025-03-31,P0119,Sobres Plus 9,Oficina,Sobres,7,0.0,4341.68,1907.85,43.94266735457242
C0174,Nicolás Martínez,Corporativo,Chile,Sur,Los Lagos,Puerto Montt,ORD-2023-00001,2025-03-31,P0048,Sillas Plus 8,Muebles,Sillas,2,0.0,1250.86,281.32,22.490126792766578
C0174,Nicolás Martínez,Corporativo,Chile,Sur,Los Lagos,Puerto Montt,ORD-2023-00001,2025-03-31,P0079,Almacenamiento Nova 9,Muebles,Almacenamiento,5,0.0,244.35,64.85,26.53979946797626
C0254,Isidora Rojas,Consumidor,Chile,Sur,Biobío,Concepción,ORD-2023-00002,2024-03-25,P0087,Papelería Flex 7,Oficina,Papelería,1,0.15,629.31,115.33,18.32642100077863
C0254,Isidora Rojas,Consumidor,Chile,Sur,Biobío,Concepción,ORD-2023-00002,2024-03-25,P0021,Computadores Plus 1,Tecnología,Computadores,2,0.1,1429.92,529.33,37.01815486181045
C0203,Ignacio Araya,Corporativo,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00003,2024-02-20,P0093,Archivadores Flex 3,Oficina,Archivadores,6,0.15,3186.84,1333.8,41.85337199231841
C0203,Ignacio Araya,Corporativo,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00003,2024-02-20,P0029,Computadores Eco 9,Tecnología,Computadores,4,0.3,787.14,-68.77,-8.736692329191758
C0203,Ignacio Araya,Corporativo,Chile,Centro,Valparaíso,Valparaíso,ORD-2023-00003,2024-02-20,P0034,Periféricos Flex 4,Tecnología,Periféricos,3,0.2,1007.23,179.29,17.80030380350069
C0258,Fernanda Silva,Corporativo,Chile,Centro,Maule,Talca,ORD-2023-00004,2023-10-29,P0089,Papelería Plus 9,Oficina,Papelería,8,0.2,2247.17,378.49,16.842962481699203
C0258,Fernanda Silva,Corporativo,Chile,Centro,Maule,Talca,ORD-2023-00004,2023-10-29,P0097,Archivadores Smart 7,Oficina,Archivadores,6,0.3,1121.57,-167.29,-14.915698529739563
C0258,Fernanda Silva,Corporativo,Chile,Centro,Maule,Talca,ORD-2023-00004,2023-10-29,P0062,Libreros Plus 2,Muebles,Libreros,2,0.1,838.22,383.39,45.738588914604755
